case,display_name,method,pipeline_mean_s,pipeline_std_s,quality_value
full_hr50,Native-HR,native,187.54059454798698,0.2571502837270102,0.8283636464517838
lightx2v_cr40,LightX2V-40,lightx2v,58.11708075404167,0.19709375583749011,0.7781163055468754
talh40,TrajScale-40,talh,58.485783813521266,0.1589665063984592,0.809830280689221
lightx2v_cr45,LightX2V-45,lightx2v,41.98036723248661,0.19122873575967658,0.7677612322724384
ralu_nt45,RALU-45,ralu,42.00649586096406,0.18846461411118628,0.8044016363824034
talh45,TrajScale-45,talh,42.26283424682915,0.19649033745121552,0.8079196316471121
lightx2v_cr48,LightX2V-48,lightx2v,32.268865356221795,0.18126264912190504,0.7640876847329612
full_lr50_stage2_0hr,Endpoint-0HR,endpoint,25.87653653807938,0.10839617638155902,0.796468739535193
full_lr50_stage2_1hr,Endpoint-1HR,endpoint,29.462937929481267,0.2228032904931469,0.8009272949279873
full_lr50_stage2_2hr,Endpoint-2HR,endpoint,33.23037459738553,0.09643540893556021,0.8035533137269656
full_lr50_stage2_5hr,Endpoint-5HR,endpoint,44.004319249466064,0.2686130924305682,0.8007262330349283
