comparison,dimension,preferred_case,prompt_majorities,total_prompts,preference_rate,bootstrap_ci_low,bootstrap_ci_high,method_a,method_b,method_a_wins,method_b_wins,prompt_ties,two_sided_sign_test_p
talh_vs_plain_handoff,artifact_cleanliness,step45_lora_stage2,10,10,1.0,1.0,1.0,step45_base_interp,step45_lora_stage2,0,10,0,0.001953125
talh_vs_plain_handoff,artifact_cleanliness,tie,0,10,0.0,0.0,0.0,step45_base_interp,step45_lora_stage2,0,10,0,0.001953125
talh_vs_plain_handoff,detail,step45_base_interp,0,10,0.0,0.0,0.0,step45_base_interp,step45_lora_stage2,0,10,0,0.001953125
talh_vs_plain_handoff,detail,step45_lora_stage2,10,10,1.0,1.0,1.0,step45_base_interp,step45_lora_stage2,0,10,0,0.001953125
talh_vs_plain_handoff,detail,tie,0,10,0.0,0.0,0.0,step45_base_interp,step45_lora_stage2,0,10,0,0.001953125
talh_vs_plain_handoff,overall,step45_base_interp,0,10,0.0,0.0,0.0,step45_base_interp,step45_lora_stage2,0,10,0,0.001953125
talh_vs_plain_handoff,overall,step45_lora_stage2,10,10,1.0,1.0,1.0,step45_base_interp,step45_lora_stage2,0,10,0,0.001953125
talh_vs_plain_handoff,overall,tie,0,10,0.0,0.0,0.0,step45_base_interp,step45_lora_stage2,0,10,0,0.001953125
talh_vs_plain_handoff,structure_identity,step45_base_interp,0,10,0.0,0.0,0.0,step45_base_interp,step45_lora_stage2,0,10,0,0.001953125
talh_vs_plain_handoff,structure_identity,step45_lora_stage2,10,10,1.0,1.0,1.0,step45_base_interp,step45_lora_stage2,0,10,0,0.001953125
talh_vs_plain_handoff,structure_identity,tie,0,10,0.0,0.0,0.0,step45_base_interp,step45_lora_stage2,0,10,0,0.001953125
talh_vs_plain_handoff,temporal_stability,step45_base_interp,0,10,0.0,0.0,0.0,step45_base_interp,step45_lora_stage2,0,9,1,0.00390625
talh_vs_plain_handoff,temporal_stability,step45_lora_stage2,9,10,0.9,0.7,1.0,step45_base_interp,step45_lora_stage2,0,9,1,0.00390625
talh_vs_plain_handoff,temporal_stability,tie,1,10,0.1,0.0,0.3,step45_base_interp,step45_lora_stage2,0,9,1,0.00390625
