metric,better,samples,original_mean,lora_mean,delta_lora_minus_original_mean,delta_lora_minus_original_std,lora_wins,original_wins,ties,lora_win_rate
l1,lower,10,0.02363443309441209,0.02368893139064312,5.4498296231031416e-05,0.005634002428435388,3,7,0,0.3
mse,lower,10,0.002900327916722745,0.0020198252343107013,-0.0008805026824120432,0.0016729905942052146,7,3,0,0.7
psnr,higher,10,27.35277205973334,28.20103193371004,0.8482598739767002,0.8926988500280284,7,3,0,0.7
temporal_l1,lower,10,0.022466278495267035,0.020025344891473652,-0.0024409336037933826,0.006054335380650819,6,4,0,0.6
