id,group,status,evidence,raw_status
vbench_factorial_inputs,metrics,missing,0/8 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/metrics/vbench_inputs/*/prompt_map.json; 0/4 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_distill4/metrics/vbench_inputs/*/prompt_map.json,
vbench_factorials,metrics,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/metrics/vbench*.json; 0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_distill4/metrics/vbench*.json,
blind_review_package,human,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/review/human_ratings.csv; 0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_distill4/review/human_ratings.csv,
human_blind_review,human,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/review/human_ratings_completed.csv; 0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_distill4/review/human_ratings_completed.csv; 0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/review/human_review_summary.json; 0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_distill4/review/human_review_summary.json,
wan50_lora40_endpoint_strength,final_step40,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_endpoint_strength/metrics/strength_sweep_summary.csv; 1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_endpoint_strength/metrics/strength_paired_statistics.csv; 50/50 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_endpoint_strength/videos/*/*.mp4,
wan50_lora40_strength_factorial,final_step40,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_strength/run_manifest.json; 80/80 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_strength/videos/*/*.mp4,
wan50_lora40_strength_vbench_inputs,final_step40,complete,8/8 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_strength/metrics/vbench_inputs/*/prompt_map.json,
wan50_lora40_strength_vbench,final_step40,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_strength/metrics/vbench_v1_custom.json,
wan50_lora40_strength_vbench_statistics,final_step40,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_strength/metrics/vbench_paired_statistics.csv,
wan50_lora40_strength_review_package,final_step40,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_strength/review/human_ratings.csv,
wan50_lora40_strength_human_review,final_step40,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_strength/review/human_ratings_completed.csv; 1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_strength/review/human_review_summary.json; 1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_strength/review/human_review_prompt_summary.csv; 1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/wan50_step40_strength/review/human_review_agreement.csv,
wan50_step45_review_package,final_step45,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/review/step45/human_ratings.csv,
wan50_step45_human_review,final_step45,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/review/step45/human_ratings_completed.csv; 1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/review/step45/human_review_summary.json; 1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/review/step45/human_review_prompt_summary.csv; 1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/review/step45/human_review_agreement.csv,
wan50_final_quality_efficiency_videos,final_efficiency,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/run_manifest.json; 130/130 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/videos/*/*.mp4,
wan50_final_quality_efficiency_vbench_inputs,final_efficiency,complete,13/13 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_inputs/*/prompt_map.json,
wan50_final_quality_efficiency_vbench,final_efficiency,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json; 1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_paired_statistics.csv,
wan50_final_quality_efficiency_spec,final_efficiency,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/benchmark_spec.json,
wan50_final_quality_efficiency_benchmark,final_efficiency,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/quality_efficiency.csv; 1/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/quality_efficiency_raw.csv,
