case,old_gpu,new_gpu,old_elapsed_mean_s,new_elapsed_mean_s,delta_s,delta_pct,quality_value_unchanged
talh40,0,0,127.2079859510064,120.86471737362444,-6.343268577381963,-4.986533298172835,True
talh45,0,0,110.03185188882053,99.04832976087928,-10.983522127941242,-9.982129664635043,True
