metric,better,samples,original_mean,lora_mean,delta_lora_minus_original_mean,oriented_improvement_mean,oriented_improvement_std,bootstrap_ci_low,bootstrap_ci_high,confidence,wins,losses,ties,two_sided_sign_test_p
l1,lower,10,0.042858514748513696,0.040703673101961615,-0.002154841646552086,0.002154841646552086,0.0012351419645642446,0.0014808264095336199,0.002993343537673354,0.95,10,0,0,0.001953125
lpips,lower,10,0.15471995249390602,0.14598019868135453,-0.008739753812551498,0.008739753812551498,0.00637336961507581,0.0051025649718940275,0.01288675710558891,0.95,10,0,0,0.001953125
mse,lower,10,0.0070091223577037455,0.006455946434289217,-0.0005531759234145284,0.0005531759234145284,0.0005861236931220502,0.0002435963676543908,0.0009481237560976296,0.95,9,1,0,0.021484375
psnr,higher,10,22.151006006909924,22.482352592777428,0.3313465858675048,0.3313465858675048,0.2829197173431321,0.17565204530400555,0.5224532571941104,0.95,9,1,0,0.021484375
ssim,higher,10,0.7806141197681427,0.7881787061691284,0.007564586400985718,0.007564586400985718,0.006375629483656591,0.003953583389520645,0.011831872463226317,0.95,10,0,0,0.001953125
temporal_l1,lower,10,0.023707411624491213,0.0234883280005306,-0.0002190836239606142,0.0002190836239606142,0.0005058614222416237,-1.842198078520591e-05,0.0005747670773416757,0.95,6,4,0,0.75390625
