metric,better,samples,original_mean,lora_mean,delta_lora_minus_original_mean,oriented_improvement_mean,oriented_improvement_std,bootstrap_ci_low,bootstrap_ci_high,confidence,wins,losses,ties,two_sided_sign_test_p
l1,lower,10,0.02363443309441209,0.02368893139064312,5.4498296231031416e-05,-5.4498296231031416e-05,0.005634002428435388,-0.0030238930555060496,0.003922707557212561,0.95,3,7,0,0.34375
mse,lower,10,0.002900327916722745,0.0020198252343107013,-0.0008805026824120432,0.0008805026824120432,0.0016729905942052146,0.00017713880894007166,0.0020384372724220156,0.95,7,3,0,0.34375
psnr,higher,10,27.35277205973334,28.20103193371004,0.8482598739767002,0.8482598739767002,0.8926988500280284,0.3177147220516767,1.4230393375032528,0.95,7,3,0,0.34375
temporal_l1,lower,10,0.022466278495267035,0.020025344891473652,-0.0024409336037933826,0.0024409336037933826,0.006054335380650819,-5.74875948950647e-05,0.006618696092627942,0.95,6,4,0,0.75390625
