case,repeats,mean_sec,std_sec,median_sec,min_sec,max_sec,speedup_vs_direct
direct_720p,5,264.7484,22.140987914725038,254.535,250.666,308.884,1.0
stage3_bridge_720p,5,161.36599999999999,2.686190983530401,160.748,158.272,166.179,1.6406702775057944
