case,lr_evaluations,hr_evaluations,elapsed_mean_s,elapsed_std_s,speedup_vs_full_hr,latency_reduction_vs_full_hr,peak_memory_gib,quality5_mean,quality5_drop_vs_full_hr,quality5_relative_drop_vs_full_hr
full_hr50,0,50,253.097192029655,1.5343103049685198,1.0,0.0,26.1728515625,0.8283636464917897,0.0,0.0
talh40,40,10,138.35890059918165,0.49869853164441436,1.8292801614755818,0.4533368802330673,26.2548828125,0.8098302806732185,0.018533365818571235,0.022373465925336122
talh45,45,5,114.26356333233416,1.517013852589686,2.215029749190693,0.5485387948557483,25.9814453125,0.8079196316085608,0.02044401488322889,0.024680000106006003
full_lr50_stage2_1hr,50,1,86.45419385544956,2.874491146014738,2.9275293741426895,0.6584150414228228,26.4072265625,0.8009272949498089,0.027436351541980875,0.033121143906033074
