family,case,source_snapshot,samples,subject_consistency,background_consistency,motion_smoothness,aesthetic_quality,imaging_quality,dynamic_degree,quality5_mean
distill4,step3_base_interp,base_20260717,10,0.9593155052140355,0.96936767578125,0.9837640092703156,0.5895372688770294,0.5878304378368236,0.5,0.8179629793958908
distill4,step3_base_stage2,base_20260717,10,0.9627588242292404,0.9721209716796875,0.9882898595086924,0.650935971736908,0.7093904936519668,0.5,0.8566992241612991
distill4,step3_lora_interp,base_20260717,10,0.9598087671399117,0.9694430541992187,0.9835787070642003,0.5923257231712341,0.590270155918451,0.5,0.8190852814986032
distill4,step3_lora_stage2,base_20260717,10,0.9622594354301691,0.9702603149414063,0.9881544676493282,0.6491378813982009,0.7141832800971136,0.5,0.8567990759032437
wan50,step40_base_interp,base_20260717,10,0.9217906981147825,0.9591583251953125,0.9754207557436851,0.5531150609254837,0.4810966877878448,0.6,0.7781163055534217
wan50,step40_base_stage2,base_20260717,10,0.9258249254897237,0.958021240234375,0.9796056059739155,0.5990638643503189,0.5822968738461718,0.7,0.808962501978901
wan50,step40_lora_interp,base_20260717,10,0.9234484417550266,0.9628936767578125,0.9755387206276593,0.544653245806694,0.48070932486027845,0.7,0.7774486819614942
wan50,step40_lora_stage2,base_20260717,10,0.9254026156291366,0.9591842651367187,0.9800124975560024,0.5925155103206634,0.5835274975623614,0.7,0.8081284772409765
wan50,step45_base_interp,base_20260717,10,0.9226254373230041,0.95986083984375,0.9753204802520633,0.5267514735460281,0.4542479305973759,0.7,0.7677612323124443
wan50,step45_base_stage2,base_20260717,10,0.9249092962034047,0.9582562255859375,0.9796135282792335,0.5841771960258484,0.5951426991239007,0.7,0.808419789043665
wan50,step45_lora_interp,base_20260717,10,0.9236397362872958,0.95994384765625,0.9752839043049853,0.5235512822866439,0.4542575937553688,0.7,0.7673352728581088
wan50,step45_lora_stage2,base_20260717,10,0.9235872932523489,0.9584420776367187,0.9795687865508562,0.5803168714046478,0.5976831292164178,0.7,0.8079196316121979
wan50_quality_efficiency,full_hr50,incremental_20260718,10,0.9613974107801915,0.9696078491210938,0.9847721120386662,0.5949257165193558,0.6311151439996414,0.6,0.8283636464917897
wan50_quality_efficiency,full_lr50_stage2_1hr,incremental_20260718,10,0.9259450001269579,0.9545425415039063,0.9799784495643283,0.5710126638412476,0.5731578197126036,0.7,0.8009272949498087
wan50_quality_efficiency,talh40,incremental_20260718,10,0.9271303183212877,0.9594680786132812,0.9797514622597318,0.5945104956626892,0.5882910485091033,0.7,0.8098302806732186
wan50_quality_efficiency,talh45,incremental_20260718,10,0.9235872932523489,0.9584420776367187,0.9795687865326714,0.5803168714046478,0.5976831292164178,0.7,0.807919631608561
wan50_step40_strength,step40_base_interp,incremental_20260718,10,0.9217906981147825,0.9591583251953125,0.9754207558927982,0.5531150609254837,0.4810966877878448,0.6,0.7781163055832443
wan50_step40_strength,step40_base_stage2,incremental_20260718,10,0.9258249254897237,0.958021240234375,0.9796056060721119,0.5990638643503189,0.5822968738461718,0.7,0.8089625019985403
wan50_step40_strength,step40_lora_s0p5_interp,incremental_20260718,10,0.9209518632851541,0.9605767822265625,0.9754091025597382,0.5540441066026688,0.48855481340855733,0.7,0.7799073336165362
wan50_step40_strength,step40_lora_s0p5_stage2,incremental_20260718,10,0.9268476090207696,0.9596951293945313,0.9798131264816734,0.5949723273515701,0.5867463047592728,0.7,0.8096148994015634
wan50_step40_strength,step40_lora_s0p75_interp,incremental_20260718,10,0.9220305565372109,0.9608599853515625,0.9750709354065995,0.5501689285039901,0.48691933876791116,0.7,0.7790099489134549
wan50_step40_strength,step40_lora_s0p75_stage2,incremental_20260718,10,0.9271303183212877,0.9594680786132812,0.9797514622088151,0.5945104956626892,0.5882910485091033,0.7,0.8098302806630353
wan50_step40_strength,step40_lora_s1_interp,incremental_20260718,10,0.9234484417550266,0.9628936767578125,0.9755387207149449,0.544653245806694,0.48070932486027845,0.7,0.7774486819789512
wan50_step40_strength,step40_lora_s1_stage2,incremental_20260718,10,0.9254026156291366,0.9591842651367187,0.9800124975669131,0.5925155103206634,0.5835274975623614,0.7,0.8081284772431586
