comparison,case_a,case_b,metric,samples,a_mean,b_mean,delta_b_minus_a_mean,relative_delta_vs_a,delta_std,bootstrap_ci_low,bootstrap_ci_high,wins,losses,ties,two_sided_sign_test_p
full_hr50_vs_talh40,full_hr50,talh40,quality5_mean,10,0.8283636464917897,0.8098302806732186,-0.018533365818571103,-0.022373465925335963,0.038042078184678085,-0.04303193418685253,0.00335479758017396,2,8,0,0.109375
full_hr50_vs_talh45,full_hr50,talh45,quality5_mean,10,0.8283636464917897,0.807919631608561,-0.020444014883228744,-0.024680000106005826,0.038884873271892696,-0.04606291093971622,0.0016985743247906145,3,7,0,0.34375
full_hr50_vs_full_lr50_stage2_1hr,full_hr50,full_lr50_stage2_1hr,quality5_mean,10,0.8283636464917897,0.8009272949498087,-0.02743635154198102,-0.03312114390603325,0.03650154070122596,-0.05128441444933807,-0.0057673274763192705,1,9,0,0.021484375
talh45_vs_talh40,talh45,talh40,quality5_mean,10,0.807919631608561,0.8098302806732186,0.0019106490646576435,0.002364899910717057,0.003892950588663215,-0.000490241591889318,0.004254188488691163,6,4,0,0.75390625
