family,case,measurement,gpu,repeats,elapsed_mean_s,elapsed_std_s,elapsed_median_s,inference_mean_s,inference_std_s,peak_memory_gib,peak_memory_mean_gib,quality_metric,quality_value,quality_components,vbench_source,command
wan50,step45_base_interp,cold_start_single_video_end_to_end,0,5,104.39690366759896,3.8692282126647157,102.65704582817852,104.39690366759896,3.8692282126647157,26.8173828125,26.8173828125,vbench_custom_quality5_mean,0.7677612323124443,"{""aesthetic_quality"": 0.5267514735460281, ""background_consistency"": 0.95986083984375, ""imaging_quality"": 0.4542479305973759, ""motion_smoothness"": 0.9753204802520633, ""subject_consistency"": 0.9226254373230041}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/paper/aaai27/experiments/run_factorial.py run --family wan50 --steps 45 --handoffs base --resizers interp --prompts /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out-root /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/efficiency/runs/wan50_base_interp --stage2-checkpoint /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_clean_368x640_720x1248_stage2_lmdb/latest.pt --stage2-train-config /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/train_clean_368x640_to_720x1248_lmdb_stage2.yaml --limit 1 --seed 15000 --lora-strength 0.75 --no-skip-existing
wan50,step45_lora_stage2,cold_start_single_video_end_to_end,0,5,112.53381160013377,1.2165090708231596,113.15259059518576,112.53381160013377,1.2165090708231596,25.9814453125,25.9814453125,vbench_custom_quality5_mean,0.8079196316121979,"{""aesthetic_quality"": 0.5803168714046478, ""background_consistency"": 0.9584420776367187, ""imaging_quality"": 0.5976831292164178, ""motion_smoothness"": 0.9795687865508562, ""subject_consistency"": 0.9235872932523489}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/paper/aaai27/experiments/run_factorial.py run --family wan50 --steps 45 --handoffs lora --resizers stage2 --prompts /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out-root /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/efficiency/runs/wan50_lora_stage2 --stage2-checkpoint /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_clean_368x640_720x1248_stage2_lmdb/latest.pt --stage2-train-config /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/train_clean_368x640_to_720x1248_lmdb_stage2.yaml --limit 1 --seed 15000 --lora-strength 0.75 --no-skip-existing --lora-checkpoint 45=/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_tail_skip_lora_step45_to_step50/latest.safetensors
distill4,step3_base_interp,cold_start_single_video_end_to_end,0,5,167.0945905804634,3.754792435880237,166.79374992474914,167.0945905804634,3.754792435880237,49.9404296875,49.9404296875,vbench_custom_quality5_mean,0.8179629793958909,"{""aesthetic_quality"": 0.5895372688770294, ""background_consistency"": 0.96936767578125, ""imaging_quality"": 0.5878304378368236, ""motion_smoothness"": 0.9837640092703156, ""subject_consistency"": 0.9593155052140355}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_distill4/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/paper/aaai27/experiments/run_factorial.py run --family distill4 --steps 3 --handoffs base --resizers interp --prompts /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out-root /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/efficiency/runs/distill4_base_interp --stage2-checkpoint /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_clean_368x640_720x1248_stage2_14b_cfgdistill_5k_lmdb/latest.pt --stage2-train-config /mnt/afs_2/houze/wanUpsampler/changing_resolution_distill/configs/train_clean_368x640_to_720x1248_lmdb_stage2_distill.yaml --limit 1 --seed 15000 --lora-strength 0.75 --no-skip-existing --stage2-use-ema
distill4,step3_lora_stage2,cold_start_single_video_end_to_end,0,5,170.29374311976136,1.77434996926949,169.53655369020998,170.29374311976136,1.77434996926949,50.1103515625,50.1103515625,vbench_custom_quality5_mean,0.8567990759032437,"{""aesthetic_quality"": 0.6491378813982009, ""background_consistency"": 0.9702603149414063, ""imaging_quality"": 0.7141832800971136, ""motion_smoothness"": 0.9881544676493282, ""subject_consistency"": 0.9622594354301691}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_distill4/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/paper/aaai27/experiments/run_factorial.py run --family distill4 --steps 3 --handoffs lora --resizers stage2 --prompts /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out-root /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/efficiency/runs/distill4_lora_stage2 --stage2-checkpoint /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_clean_368x640_720x1248_stage2_14b_cfgdistill_5k_lmdb/latest.pt --stage2-train-config /mnt/afs_2/houze/wanUpsampler/changing_resolution_distill/configs/train_clean_368x640_to_720x1248_lmdb_stage2_distill.yaml --limit 1 --seed 15000 --lora-strength 0.75 --no-skip-existing --lora-checkpoint 3=/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors --stage2-use-ema
