family,case,measurement,lr_evaluations,hr_evaluations,total_evaluations,gpu,repeats,elapsed_mean_s,elapsed_std_s,elapsed_median_s,inference_mean_s,inference_std_s,peak_memory_gib,peak_memory_mean_gib,quality_metric,quality_value,quality_components,vbench_source,command
wan50,full_hr50,cold_start_single_video_end_to_end,0,50,50,0,5,253.097192029655,1.5343103049685198,253.08109931275249,253.097192029655,1.5343103049685198,26.1728515625,26.1728515625,vbench_custom_quality5_mean,0.8283636464917897,"{""aesthetic_quality"": 0.5949257165193558, ""background_consistency"": 0.9696078491210938, ""imaging_quality"": 0.6311151439996414, ""motion_smoothness"": 0.9847721120386662, ""subject_consistency"": 0.9613974107801915}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1 --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/configs/full_hr50.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/benchmark_runs/full_hr50 --name_prefix full_hr50 --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,talh40,cold_start_single_video_end_to_end,40,10,50,0,5,138.35890059918165,0.49869853164441436,138.58604905754328,138.35890059918165,0.49869853164441436,26.2548828125,26.2548828125,vbench_custom_quality5_mean,0.8098302806732185,"{""aesthetic_quality"": 0.5945104956626892, ""background_consistency"": 0.9594680786132812, ""imaging_quality"": 0.5882910485091033, ""motion_smoothness"": 0.9797514622597318, ""subject_consistency"": 0.9271303183212877}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_tail_skip_lora_clean_resizer_bridge --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/configs/talh40.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/benchmark_runs/talh40 --name_prefix talh40 --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,talh45,cold_start_single_video_end_to_end,45,5,50,0,5,114.26356333233416,1.517013852589686,113.74433705955744,114.26356333233416,1.517013852589686,25.9814453125,25.9814453125,vbench_custom_quality5_mean,0.8079196316085608,"{""aesthetic_quality"": 0.5803168714046478, ""background_consistency"": 0.9584420776367187, ""imaging_quality"": 0.5976831292164178, ""motion_smoothness"": 0.9795687865326714, ""subject_consistency"": 0.9235872932523489}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_tail_skip_lora_clean_resizer_bridge --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/configs/talh45.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/benchmark_runs/talh45 --name_prefix talh45 --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,full_lr50_stage2_1hr,cold_start_single_video_end_to_end,50,1,51,0,5,86.45419385544956,2.874491146014738,84.93704684823751,86.45419385544956,2.874491146014738,26.4072265625,26.4072265625,vbench_custom_quality5_mean,0.8009272949498089,"{""aesthetic_quality"": 0.5710126638412476, ""background_consistency"": 0.9545425415039063, ""imaging_quality"": 0.5731578197126036, ""motion_smoothness"": 0.9799784495643283, ""subject_consistency"": 0.9259450001269579}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_full_lr_stage2_one_hr --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/configs/full_lr50_stage2_1hr.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final/benchmark_runs/full_lr50_stage2_1hr --name_prefix full_lr50_stage2_1hr --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
